fighter,date,event,avg_kd,avg_sig_str_landed,avg_sig_str_att,avg_total_str_landed,avg_total_str_att,avg_td_landed,avg_td_att,avg_sub_att,avg_ctrl_seconds,avg_head_landed,avg_body_landed,avg_leg_landed,avg_distance_landed,avg_clinch_landed,avg_ground_landed,weight_class,result,style
Nate Marquardt,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Kyoji Horiguchi,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Donald Cerrone,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Paul Felder,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Brad Tavares,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Rodrigo Damm,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Marion Reneau,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Mats Nilsson,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Louis Gaudinot,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Daniel Cormier,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,UFC Light Heavyweight Title,L,Mixed
Omari Akhmedov,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Cody Garbrandt,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Myles Jury,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Alexis Dufresne,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Joshua Burkman,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Marcus Brimage,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Jared Cannonier,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Evan Dunham,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Jon Jones,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,UFC Light Heavyweight Title,W,Mixed
Hector Lombard,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Danny Castillo,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Shawn Jordan,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Gleison Tibau,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Paddy Holohan,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Chris Wade,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Sean O'Connell,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Zhang Lipeng,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Sean Soriano,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Charles Rosa,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Norman Parke,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Matt Van Buren,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Dennis Siver,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Ron Stallings,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Cathal Pendred,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Conor McGregor,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Shane Howell,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Sean Spencer,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Tateki Matsuda,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Flyweight,L,Mixed
John Howard,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Lorenz Larkin,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Johnny Case,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Donald Cerrone,2015-01-18,UFC Fight Night: McGregor vs Siver,0.0,1.0,3.0,13.0,20.0,0.0,0.0,2.0,205.0,0.0,0.0,1.0,1.0,0.0,0.0,Lightweight,W,Mixed
Uriah Hall,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Frankie Perez,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Benson Henderson,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Joby Sanchez,2015-01-18,UFC Fight Night: McGregor vs Siver,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Anthony Christodoulou,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Makwan Amirkhani,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Konstantin Erokhin,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Viktor Pesta,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Nicholas Musoke,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Albert Tumenov,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Chris Beal,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Mairbek Taisumov,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Andy Ogle,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Neil Seery,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Sam Sicilia,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Akira Corassani,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Gegard Mousasi,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Mirsad Bektic,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Phil Davis,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Paul Redmond,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Nikita Krylov,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Ryan Bader,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Alexander Gustafsson,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Dan Henderson,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Kenny Robertson,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Sultan Aliev,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Anthony Johnson,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Stanislav Nedkov,2015-01-24,UFC on FOX: Gustafsson vs Johnson,,,,,,,,,,,,,,,,Light Heavyweight,L,Mixed
Richardson Moreira,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Ildemar Alcantara,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Tyron Woodley,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Tom Watson,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Thiago Santos,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Joe Lauzon,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Rafael Natal,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Al Iaquinta,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Andy Enz,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Sara McMann,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Thiago Alves,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Anderson Silva,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Thales Leites,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Tim Boetsch,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Derek Brunson,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Ian McCall,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Nick Diaz,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Ed Herman,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Kelvin Gastelum,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Jordan Mein,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Miesha Tate,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
John Lineker,2015-01-31,UFC 183: Silva vs Diaz,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Ray Borg,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Cody Pfister,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Chris Kelades,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Flyweight,L,Mixed
James Moontasri,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Brandon Thatch,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Max Holloway,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Patrick Walsh,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Daniel Kelly,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Efrain Escudero,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Michel Prazeres,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Kevin Lee,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Rodrigo de Lima,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Cole Miller,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Neil Magny,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Kiichi Kunimoto,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Benson Henderson,2015-02-14,UFC Fight Night: Henderson vs Thatch,0.0,27.0,47.0,27.0,47.0,0.0,1.0,0.0,0.0,4.0,4.0,19.0,27.0,0.0,0.0,Welterweight,W,Sniper
Zach Makovsky,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Tim Elliott,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Jim Alers,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Chas Skelly,2015-02-14,UFC Fight Night: Henderson vs Thatch,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Mike de la Torre,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Iuri Alcantara,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Ivan Jorge,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Cody Gibson,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Josh Shockley,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Tiago dos Santos e Silva,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Michael Johnson,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Rustam Khabilov,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Frankie Saenz,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Cezar Ferreira,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Santiago Ponzinibbio,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Sean Strickland,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Edson Barboza,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Douglas Silva de Andrade,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Adriano Martins,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Sam Alvey,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Antonio Silva,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Matt Dwyer,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Frank Mir,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Marion Reneau,2015-02-22,UFC Fight Night: Bigfoot vs Mir,0.0,30.0,61.0,30.0,61.0,0.0,0.0,0.0,0.0,19.0,7.0,4.0,23.0,7.0,0.0,Women's Bantamweight,W,Muay_Thai
William Macario,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Jessica Andrade,2015-02-22,UFC Fight Night: Bigfoot vs Mir,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Holly Holm,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Alex Torres,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Masio Fullen,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Valmir Lazaro,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Derrick Lewis,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
James Krause,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Gleison Tibau,2015-02-28,UFC 184: Rousey vs Zingano,0.0,11.0,52.0,11.0,52.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,7.0,4.0,0.0,Lightweight,L,Muay_Thai
Alan Jouban,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Tony Ferguson,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Dhiego Lima,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Richard Walsh,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Josh Koscheck,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Raquel Pennington,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Ruan Potts,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Jake Ellenberger,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Tim Means,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Mark Munoz,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Roan Carneiro,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Cat Zingano,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,UFC Women's Bantamweight Title,L,Mixed
Norifumi Yamamoto,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Roman Salazar,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Ronda Rousey,2015-02-28,UFC 184: Rousey vs Zingano,,,,,,,,,,,,,,,,UFC Women's Bantamweight Title,W,Mixed
Johny Hendricks,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Matt Brown,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Rafael Dos Anjos,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,UFC Lightweight Title,W,Mixed
Anthony Pettis,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,UFC Lightweight Title,L,Mixed
Jake Lindsey,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Chris Cariaso,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Beneil Dariush,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Daron Cruickshank,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Elias Theodorou,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Roger Narvaez,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Sergio Pettis,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Ryan Benoit,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Alistair Overeem,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Joe Duffy,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Roy Nelson,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Henry Cejudo,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Germaine de Randamie,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Carla Esparza,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,UFC Women's Strawweight Title,L,Mixed
Joanna Jedrzejczyk,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,UFC Women's Strawweight Title,W,Mixed
Josh Copeland,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Jared Rosholt,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Ross Pearson,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Larissa Pacheco,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Sam Stout,2015-03-14,UFC 185: Pettis vs Dos Anjos,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Leonardo Mafra,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Shayna Baszler,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Edimilson Souza,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Ryan LaFlare,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Demian Maia,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Gilbert Burns,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Erick Silva,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Josh Koscheck,2015-03-21,UFC Fight Night: Maia vs LaFlare,0.0,3.0,27.0,12.0,37.0,1.0,3.0,0.0,116.0,1.0,2.0,0.0,1.0,2.0,0.0,Welterweight,L,Mixed
Cain Carrizosa,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Bentley Syler,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Fredy Serrano,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Alex Oliveira,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Anthony Rocco Martin,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Katsunori Kikuno,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Leonardo Santos,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Amanda Nunes,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Godofredo Pepey,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Jorge de Oliveira,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Drew Dober,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Leandro Silva,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Andre Fili,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Francisco Trinaldo,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Akbarh Arreola,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Christos Giagos,2015-03-21,UFC Fight Night: Maia vs LaFlare,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Ricardo Lamas,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Chad Mendes,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Ron Stallings,2015-04-04,UFC Fight Night: Mendes vs Lamas,0.0,10.0,18.0,10.0,18.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,10.0,0.0,0.0,Middleweight,W,Mixed
Justin Jones,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Liz Carmouche,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Clay Guida,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Lauren Murphy,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Alexander Yakovlev,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Robert Peralta,2015-04-04,UFC Fight Night: Mendes vs Lamas,,,,,,,,,,,,,,,,Featherweight,L,Mixed
