name,Odds,bet_size,in_first_event,potential_winnings,total_return,event_name,date_added
Joshua Van,-150,1,1,0.6666666666666666,1.6666666666666665,UFC 313: Pereira vs. Ankalaev,2025-03-10
Francis Ngannou,-200,150,0,0.0,0.0,UFC 313: Pereira vs. Ankalaev,2025-03-10
Israel Adesanya,180,100,0,0.0,0.0,UFC 313: Pereira vs. Ankalaev,2025-03-10
Dustin Poirier,-150,200,0,0.0,0.0,UFC 313: Pereira vs. Ankalaev,2025-03-10
Other Fighter,250,50,0,0.0,0.0,UFC 313: Pereira vs. Ankalaev,2025-03-10
