matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge
df1,Marvin Vettori,-148,1,0.8522412691528674,0.5720596355604638,0.28018163359240356
df4,Alexander Hernandez,-180,3,1.179057994056002,0.6164383561643836,0.5626196378916184
df12,Priscila Cachoeira,+154,1,0.5365834705357981,0.3775334481388264,0.15905002239697175
df14,Yuneisy Duben,+300,2,0.5878077637683431,0.24000000000000005,0.34780776376834305
