matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df4,Karol Rosa,-185,1,0.741,0.622,0.119,1,0.541,1.541,0.541,1.541,UFC Fight Night: Taira vs. Park,2025-08-04
df5,Neil Magny,164,1,0.531,0.363,0.168,1,1.64,2.64,1.64,2.64,UFC Fight Night: Taira vs. Park,2025-08-04
df7,Nathan Fletcher,330,2,0.546,0.223,0.323,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Taira vs. Park,2025-08-04
df8,Tresean Gore,170,1,0.508,0.355,0.153,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Taira vs. Park,2025-08-04
df9,Nick Klein,130,1,0.642,0.417,0.225,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Taira vs. Park,2025-08-04
df11,Rafael Estevam,-550,1,1.025,0.812,0.213,1,0.182,1.182,0.182,1.182,UFC Fight Night: Taira vs. Park,2025-08-04
df12,Ketlen Souza,185,1,0.547,0.336,0.211,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Taira vs. Park,2025-08-04
