matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Kamaru Usman,205,1,0.444,0.315,0.129,1,2.05,3.05,2.05,3.05,UFC Fight Night: Usman vs. Buckley,2025-06-15
df2,Miranda Maverick,195,1,0.577,0.325,0.252,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Usman vs. Buckley,2025-06-15
df5,Mansur Abdul-Malik,-800,2,1.218,0.852,0.365,1,0.25,2.25,0.25,1.125,UFC Fight Night: Usman vs. Buckley,2025-06-15
df6,Alonzo Menifield,500,1,0.441,0.16,0.281,1,5.0,6.0,5.0,6.0,UFC Fight Night: Usman vs. Buckley,2025-06-15
df9,Kris Moutinho,1000,2,0.521,0.088,0.433,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Usman vs. Buckley,2025-06-15
