matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Carlos Ulberg,-250,1,0.797,0.685,0.112,1,0.4,1.4,0.4,1.4,UFC Fight Night: Ulberg vs. Reyes,2025-09-28
df7,Rodolfo Bellato,200,1,0.476,0.319,0.156,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Ulberg vs. Reyes,2025-09-28
df9,Rolando Bedoya,102,1,0.657,0.474,0.183,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Ulberg vs. Reyes,2025-09-28
df10,Colby Thicknesse,130,2,0.769,0.417,0.352,1,2.6,4.6,2.6,2.3,UFC Fight Night: Ulberg vs. Reyes,2025-09-28
