event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Movsar Evloev,Lerone Murphy,Featherweight,Mixed,Mixed,0.4487,-250,0.7143,-0.2655,0,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3+0ML83782020_3+0ML83782011_1,W,0.0,1,UFC Fight Night: Evloev vs. Murphy,Movsar Evloev
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Lerone Murphy,Movsar Evloev,Featherweight,Mixed,Mixed,0.5513,198,0.3356,0.2157,3,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3+0ML83782020_3+0ML83782011_1,L,-3.0,0,UFC Fight Night: Evloev vs. Murphy,Lerone Murphy
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Michael Page,Sam Patterson,Welterweight,Mixed,Mixed,0.5042,-178,0.6403,-0.1361,0,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3+0ML83782020_3+0ML83782011_1,W,0.0,1,UFC Fight Night: Evloev vs. Murphy,Michael Page
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Sam Patterson,Michael Page,Welterweight,Mixed,Mixed,0.4958,144,0.4098,0.086,1,https://sportsbook.draftkings.com/event/33781622?outcomes=0ML83782020_3,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3+0ML83782020_3+0ML83782011_1,L,-1.0,0,UFC Fight Night: Evloev vs. Murphy,Sam Patterson
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Roman Dolidze,Christian Leroy Duncan,Middleweight,Mixed,Muay_Thai,0.3801,340,0.2273,0.1529,2,https://sportsbook.draftkings.com/event/33781613?outcomes=0ML83782011_1,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3+0ML83782020_3+0ML83782011_1,L,-2.0,0,UFC Fight Night: Evloev vs. Murphy,Roman Dolidze
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Christian Leroy Duncan,Roman Dolidze,Middleweight,Muay_Thai,Mixed,0.6199,-470,0.8246,-0.2047,0,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3+0ML83782020_3+0ML83782011_1,W,0.0,1,UFC Fight Night: Evloev vs. Murphy,Christian Leroy Duncan
