matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Ilia Topuria,-500,1,1.027,0.786,0.241,1,0.2,1.2,0.2,1.2,UFC 317: Topuria vs. Oliveira,2025-06-29
df2,Kai Kara-France,200,1,0.454,0.315,0.139,0,0.0,0.0,-1.0,0.0,UFC 317: Topuria vs. Oliveira,2025-06-29
df4,Beneil Dariush,-104,1,0.683,0.481,0.202,1,0.962,1.962,0.962,1.962,UFC 317: Topuria vs. Oliveira,2025-06-29
df7,Jose Delgado,-172,1,0.798,0.597,0.201,1,0.581,1.581,0.581,1.581,UFC 317: Topuria vs. Oliveira,2025-06-29
df8,Tracy Cortez,-265,2,1.02,0.685,0.335,1,0.755,2.755,0.755,1.378,UFC 317: Topuria vs. Oliveira,2025-06-29
df10,Jacobe Smith,-3000,3,1.575,0.914,0.661,1,0.1,3.1,0.1,1.033,UFC 317: Topuria vs. Oliveira,2025-06-29
