matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df2,Valentina Shevchenko,114,3,1.246,0.449,0.798,1,3.42,6.42,3.42,2.14,UFC 315: Muhammad vs. Della Maddalena,2025-05-11
df7,Jessica Andrade,260,3,1.523,0.266,1.257,0,0.0,0.0,-3.0,0.0,UFC 315: Muhammad vs. Della Maddalena,2025-05-11
df8,Modestas Bukauskas,-108,2,0.976,0.496,0.481,1,1.852,3.852,1.852,1.926,UFC 315: Muhammad vs. Della Maddalena,2025-05-11
df9,Ivan Erslan,250,1,0.411,0.274,0.137,0,0.0,0.0,-1.0,0.0,UFC 315: Muhammad vs. Della Maddalena,2025-05-11
df12,Brad Katona,136,2,0.745,0.407,0.338,0,0.0,0.0,-2.0,0.0,UFC 315: Muhammad vs. Della Maddalena,2025-05-11
