matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df4,Dustin Jacoby,-192,1,0.812,0.631,0.181,1,0.521,1.521,0.521,1.521,UFC Fight Night: Blanchfield vs. Barber,2025-06-01
df8,Jordan Leavitt,-245,3,1.4,0.681,0.72,1,1.224,4.224,1.224,1.408,UFC Fight Night: Blanchfield vs. Barber,2025-06-01
