matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Diego Lopes,200,2,0.599,0.19,0.409,1,4.0,6.0,4.0,3.0,UFC Fight Night: Lopes vs. Silva,2025-09-17
df3,Rafa Garcia,180,1,0.517,0.343,0.174,1,1.8,2.8,1.8,2.8,UFC Fight Night: Lopes vs. Silva,2025-09-17
df8,Claudio Puelles,-135,1,0.805,0.551,0.253,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Lopes vs. Silva,2025-09-17
df9,Amanda Lemos,340,3,0.769,0.218,0.551,0,0.0,0.0,-3.0,0.0,UFC Fight Night: Lopes vs. Silva,2025-09-17
