matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df2,Gabriel Bonfim,-420,1,0.892,0.773,0.119,1,0.238,1.238,0.238,1.238,UFC Fight Night: Lewis vs. Teixeira,2025-07-13
df5,Austen Lane,450,1,0.345,0.173,0.171,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Lewis vs. Teixeira,2025-07-13
df7,Max Griffin,246,1,0.47,0.278,0.192,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Lewis vs. Teixeira,2025-07-13
df9,Eduarda Moura,-620,3,1.363,0.822,0.541,1,0.484,3.484,0.484,1.161,UFC Fight Night: Lewis vs. Teixeira,2025-07-13
df10,Kennedy Nzechukwu,-210,1,0.764,0.65,0.114,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Lewis vs. Teixeira,2025-07-13
