matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Merab Dvalishvili,-285,1,0.897,0.71,0.187,1,0.351,1.351,0.351,1.351,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-11
df2,Kayla Harrison,-750,3,1.761,0.847,0.915,1,0.4,3.4,0.4,1.133,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-11
df7,Azamat Murzakanov,-625,1,0.955,0.827,0.128,1,0.16,1.16,0.16,1.16,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-11
