event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC Fight Night: Burns vs. Malott,2026-04-18,Gilbert Burns,Mike Malott,Welterweight,Mixed,Mixed,0.5554,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,L,0.0,0,UFC Fight Night: Burns vs. Malott,Gilbert Burns
UFC Fight Night: Burns vs. Malott,2026-04-18,Mike Malott,Gilbert Burns,Welterweight,Mixed,Mixed,0.4446,-277.0,0.7347,-0.2901,0,,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,W,0.0,1,UFC Fight Night: Burns vs. Malott,Mike Malott
UFC Fight Night: Burns vs. Malott,2026-04-18,Kyler Phillips,Charles Jourdain,Bantamweight,Sniper,Muay_Thai,0.5054,127.0,0.4405,0.0649,1,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,L,-1.0,0,UFC Fight Night: Burns vs. Malott,Kyler Phillips
UFC Fight Night: Burns vs. Malott,2026-04-18,Charles Jourdain,Kyler Phillips,Bantamweight,Muay_Thai,Sniper,0.4946,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,W,0.0,1,UFC Fight Night: Burns vs. Malott,Charles Jourdain
UFC Fight Night: Burns vs. Malott,2026-04-18,Jasmine Jasudavicius,Karine Silva,Women's Flyweight,Mixed,Mixed,0.6431,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,W,0.0,1,UFC Fight Night: Burns vs. Malott,Jasmine Jasudavicius
UFC Fight Night: Burns vs. Malott,2026-04-18,Karine Silva,Jasmine Jasudavicius,Women's Flyweight,Mixed,Mixed,0.3569,252.0,0.2841,0.0728,1,https://gambly.com/gambly-bot?auto=1&prompt=karine+silva+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,L,-1.0,0,UFC Fight Night: Burns vs. Malott,Karine Silva
UFC Fight Night: Burns vs. Malott,2026-04-18,JJ Aldrich,Jamey-Lyn Horth,Women's Flyweight,Mixed,Mixed,0.6941,138.0,0.4202,0.2739,3,https://gambly.com/gambly-bot?auto=1&prompt=jj+aldrich+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,W,4.14,1,UFC Fight Night: Burns vs. Malott,JJ Aldrich
UFC Fight Night: Burns vs. Malott,2026-04-18,Jamey-Lyn Horth,JJ Aldrich,Women's Flyweight,Mixed,Mixed,0.3059,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline+and+karine+silva+moneyline+and+jj+aldrich+moneyline,L,0.0,0,UFC Fight Night: Burns vs. Malott,Jamey-Lyn Horth
