matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df3,Mairon Santos,-135,1,0.82,0.551,0.269,1,0.741,1.741,0.741,1.741,UFC Fight Night: Burns vs. Morales,2025-05-17
df5,Melquizael Costa,-175,1,0.778,0.609,0.168,1,0.571,1.571,0.571,1.571,UFC Fight Night: Burns vs. Morales,2025-05-17
df9,Luana Santos,-175,1,0.835,0.609,0.226,1,0.571,1.571,0.571,1.571,UFC Fight Night: Burns vs. Morales,2025-05-17
