matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df2,Mike Malott,-118,1,0.662,0.517,0.144,1,0.847,1.847,0.847,1.847,UFC Fight Night: De Ridder vs. Allen,2025-10-19
df3,Marlon Vera,105,2,0.838,0.468,0.371,0,0.0,0.0,-2.0,0.0,UFC Fight Night: De Ridder vs. Allen,2025-10-19
df6,Matt Frevola,-118,2,0.869,0.517,0.352,0,0.0,0.0,-2.0,0.0,UFC Fight Night: De Ridder vs. Allen,2025-10-19
df11,Ravena Oliveira,240,3,0.825,0.282,0.543,0,0.0,0.0,-3.0,0.0,UFC Fight Night: De Ridder vs. Allen,2025-10-19
df12,Azamat Bekoev,-290,2,1.022,0.714,0.308,0,0.0,0.0,-2.0,0.0,UFC Fight Night: De Ridder vs. Allen,2025-10-19
