matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df6,Deiveson Figueiredo,1039,2,0.426,0.085,0.341,0,0.0,0.0,-2.0,0.0,UFC 324: Gaethje vs. Pimblett,2026-01-25
df8,Nikita Krylov,114,1,0.748,0.458,0.29,1,1.14,2.14,1.14,2.14,UFC 324: Gaethje vs. Pimblett,2026-01-25
df9,Alex Perez,144,3,0.975,0.401,0.574,1,4.32,7.32,4.32,2.44,UFC 324: Gaethje vs. Pimblett,2026-01-25
