matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Anthony Hernandez,-355,2,1.074,0.748,0.326,1,0.563,2.563,0.563,1.282,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df2,Ode Osbourne,425,3,1.455,0.183,1.272,0,0.0,0.0,-3.0,0.0,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df3,Iasmin Lucindo,-198,2,1.009,0.637,0.372,1,1.01,3.01,1.01,1.505,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df6,Christian Leroy Duncan,-550,1,0.972,0.812,0.16,1,0.182,1.182,0.182,1.182,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df8,Elijah Smith,-700,3,1.777,0.84,0.937,1,0.429,3.429,0.429,1.143,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df10,Gilbert Urbina,350,1,0.476,0.213,0.263,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df11,Julija Stoliarenko,330,1,0.366,0.223,0.143,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
df12,Eric McConico,124,2,0.781,0.42,0.36,1,2.48,4.48,2.48,2.24,UFC Fight Night: Dolidze vs. Hernandez,2025-08-13
