matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df2,Ignacio Bahamondes,-125,1,0.695,0.532,0.162,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-26
df3,Curtis Blaydes,-270,3,1.805,0.7,1.105,1,1.111,4.111,1.111,1.37,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-26
df10,Klaudia Sygula,220,2,0.626,0.3,0.326,1,4.4,6.4,4.4,3.2,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-26
df11,Tagir Ulanbekov,-395,2,1.086,0.766,0.321,1,0.506,2.506,0.506,1.253,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-26
df12,Mohammed Usman,142,2,0.756,0.396,0.36,1,2.84,4.84,2.84,2.42,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-26
