matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Islam Makhachev,-269,1,0.876,0.714,0.161,1,0.372,1.372,0.372,1.372,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
df3,Sean Brady,-136,1,0.699,0.559,0.14,0,0.0,0.0,-1.0,0.0,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
df4,Leon Edwards,148,1,0.581,0.388,0.193,0,0.0,0.0,-1.0,0.0,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
df7,Gregory Rodrigues,-180,1,0.743,0.62,0.123,1,0.556,1.556,0.556,1.556,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
df8,Tracy Cortez,208,3,0.817,0.313,0.504,0,0.0,0.0,-3.0,0.0,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
df9,Kyle Daukaus,-417,1,1.004,0.795,0.209,1,0.24,1.24,0.24,1.24,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
df11,Fatima Kline,-489,1,0.985,0.806,0.179,1,0.204,1.204,0.204,1.204,UFC 322: Della Maddalena vs. Makhachev,2025-11-16
