matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df3,Melquizael Costa,-225,1,0.843,0.656,0.187,1,0.444,1.444,0.444,1.444,UFC Fight Night: Strickland vs. Hernandez,2026-02-22
df7,Chidi Njokuani,110,1,0.637,0.458,0.179,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Strickland vs. Hernandez,2026-02-22
df11,Ramiz Brahimaj,-111,1,0.663,0.508,0.155,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Strickland vs. Hernandez,2026-02-22
