matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df6,Cody Durden,220,3,1.542,0.302,1.24,0,0.0,0.0,-3.0,0.0,UFC Fight Night: Garcia vs. Onama,2025-11-02
df7,Kevin Christian,219,2,0.703,0.303,0.4,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Garcia vs. Onama,2025-11-02
df10,Ketlen Vieira,149,1,0.534,0.385,0.149,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Garcia vs. Onama,2025-11-02
df13,Talita Alencar,-222,1,0.831,0.667,0.163,1,0.45,1.45,0.45,1.45,UFC Fight Night: Garcia vs. Onama,2025-11-02
